"","id","gender","age","province","smoked_cigarettes","age_first_time_cigarettes","freq_cigarettes_30_days","freq_little_cigars_30_days","freq_cigars_30_days","freq_tabacco_pipe_30_days","freq_chewing_tabacco_30_days","freq_tabacco_waterpipe_30_days","when_quit_smoking","num_try_stop_smoking","quit_smoking_by_vaping","vaped","age_first_time_vape","freq_vaped_30_days","main_reason_vaping","num_try_stop_vaping","harm_vaping","smoked_cannabis","age_first_time_cannabis","freq_cannabis_30_days","freq_cannabis_tobacco_mix_30_days","first_product","freq_alcohol_30_days","smoking_status"
"40",50039,"Male","15-19","Alberta","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","10-14","Not at all","Valid skip","Valid skip","Don't know","Yes","15-19","Less than daily, but at least once a week","Not at all","An e-cigarette or vaping device","At least once a week","Never smoked"
"41",50040,"Female","65 and older","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"42",50041,"Male","20-24","Manitoba","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","15-19","Not at all","Valid skip","Valid skip","Much less harmful than cigarettes","Yes","20-24","Not at all","Valid skip","Cannabis","Not at all","Never smoked"
"43",50042,"Female","45-54","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Much more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"44",50043,"Male","45-54","Ontario","Yes","10-14","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Less than one year ago","4 or more","No","Yes","40-44","Not at all","Valid skip","Valid skip","Don't know","Yes","15-19","Less than once a week, but at least once in the past month","Not at all","Cigarette","Less than once a week, but at least once in the past month","Former smoker"
"45",50044,"Female","55-64","Alberta","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"46",50045,"Female","15-19","British Columbia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Much more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"47",50046,"Male","65 and older","Newfoundland and Labrador","Yes","15-19","Daily","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","0","Valid skip","Yes","65 and over","Not at all","Valid skip","Valid skip","Somewhat less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Cigarette","Not at all","Current smoker"
"48",50047,"Female","45-54","New Brunswick","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Former smoker"
"49",50048,"Male","35-44","Manitoba","Yes","20-24","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"50",50049,"Female","55-64","Newfoundland and Labrador","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"51",50050,"Female","20-24","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","20-24","Not at all","Valid skip","Valid skip","About the same as cigarettes","Yes","15-19","Not at all","Valid skip","Cannabis","Not at all","Never smoked"
"52",50051,"Female","55-64","Alberta","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"53",50052,"Female","15-19","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","15-19","Not at all","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"54",50053,"Female","35-44","Quebec","Yes","20-24","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"55",50054,"Male","15-19","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"56",50055,"Male","15-19","Manitoba","Yes","10-14","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","10-14","Daily","Other","4 or more","Somewhat more harmful than cigarettes","Yes","10-14","Daily","Not at all","Cigarette","Not at all","Never smoked"
"57",50056,"Female","45-54","New Brunswick","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"58",50057,"Female","45-54","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"59",50058,"Female","65 and older","Nova Scotia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"60",50059,"Female","45-54","Manitoba","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"61",50060,"Male","35-44","Ontario","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","Yes","30-34","Not at all","Valid skip","Valid skip","Don't know","Yes","20-24","Not at all","Valid skip","Cigarette","Daily","Former smoker"
"62",50061,"Male","15-19","British Columbia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","10-14","Not at all","Valid skip","Valid skip","Somewhat less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"63",50062,"Female","35-44","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"64",50063,"Male","65 and older","British Columbia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"65",50064,"Female","65 and older","Ontario","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","Yes","35-39","Not at all","Valid skip","Cigarette","Not at all","Former smoker"
"66",50065,"Male","20-24","Alberta","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","1 to 2 years ago","Valid skip","Valid skip","Yes","15-19","Not at all","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","An e-cigarette or vaping device","Not at all","Former smoker"
"67",50066,"Female","35-44","Ontario","Yes","15-19","Daily","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","0","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Current smoker"
"68",50067,"Female","65 and older","Ontario","Yes","20-24","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Much more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"69",50068,"Male","20-24","British Columbia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"70",50069,"Female","65 and older","Nova Scotia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","Yes","15-19","Not at all","Valid skip","Valid skip","At least once a week","Never smoked"
"71",50070,"Male","35-44","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","Yes","15-19","Not at all","Valid skip","Valid skip","At least once a week","Never smoked"
"72",50071,"Male","55-64","Newfoundland and Labrador","Yes","10-14","Daily","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","4 or more","No","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","Yes","20-24","Less than daily, but at least once a week","Not at all","Cigarette","Less than once a week, but at least once in the past month","Current smoker"
"73",50072,"Male","55-64","Alberta","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"74",50073,"Male","55-64","Quebec","Yes","0-9","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat more harmful than cigarettes","Yes","15-19","Not at all","Valid skip","Cigarette","At least once a week","Never smoked"
"75",50074,"Female","15-19","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"76",50075,"Male","65 and older","New Brunswick","Yes","20-24","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Former smoker"
"77",50076,"Male","35-44","Ontario","Yes","10-14","Not at all","Not at all","Less than once a week, but at least once in the past month","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"78",50077,"Female","20-24","Alberta","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","Yes","15-19","Not at all","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"79",50078,"Female","20-24","Ontario","Yes","15-19","Not at all",NA,"Not at all","Not at all","Not at all","Not at all","1 to 2 years ago","Valid skip","Valid skip","Yes","20-24","Not at all","Valid skip","Valid skip","Don't know","Yes","15-19","Less than once a week, but at least once in the past month","Not at all","Cigarette","Less than once a week, but at least once in the past month","Former smoker"
"80",50079,"Female","55-64","Alberta","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"81",50080,"Male","45-54","Newfoundland and Labrador","Yes","10-14","Daily","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","0","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Much more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Current smoker"
"82",50081,"Male","65 and older","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"83",50082,"Male","15-19","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"84",50083,"Male","25-34","Saskatchewan","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"85",50084,"Male","65 and older","Prince Edward Island","Yes","10-14","Not at all","Not stated","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","Yes","15-19","Not at all","Valid skip","Cigarette","Daily","Former smoker"
"86",50085,"Female","25-34","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
